Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7,Angle8,Distance8,Density8,Angle9,Distance9,Density9,Angle10,Distance10,Density10,Angle11,Distance11,Density11
 15,8.95654103286186,5.29642962350135,1,6.46545202576116,6.50759278828039,1,4.16370552060078,5.17573493677636,0,8.95654103286186,0,0,0,0,0,0,0,0,0,0,0,5.07940046485592,7.35014470046706,0,0,0,0,0,0,0,0,0,0
 15,8.95654103286186,5.29642962350135,1,6.46545202576116,6.50759278828039,1,4.16370552060078,5.17573493677636,2,8.95654103286186,0,0,0,0,0,0,0,0,0,0,0,5.07940046485592,7.35014470046706,2,0,0,0,0,0,0,0,0,0
 15,8.95654103286186,5.29642962350135,1,6.46545202576116,6.50759278828039,1,4.16370552060078,5.17573493677636,2,8.95654103286186,0,0,5.39757687832998,2.24040633892786,2,0,0,0,0,0,0,5.07940046485592,7.35014470046706,2,0,0,0,0,0,0,7.30521877672118,6.27201835237883,2
 16,7.72419642900673,6.33113819362602,1,9.36878524466601,6.037060207683,0,0,0,0,7.72419642900673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 16,7.72419642900673,6.33113819362602,1,9.36878524466601,6.037060207683,1,4.14148555298966,3.64151075480942,0,7.72419642900673,0,0,0,0,0,0,0,0,0,0,0,4.80133528561892,7.2092699065061,0,0,0,0,0,0,0,0,0,0
 16,7.72419642900673,6.33113819362602,1,9.36878524466601,6.037060207683,1,4.14148555298966,3.64151075480942,2,7.72419642900673,0,0,0,0,0,0,0,0,0,0,0,4.80133528561892,7.2092699065061,2,0,0,0,0,0,0,0,0,0
 16,7.72419642900673,6.33113819362602,1,9.36878524466601,6.037060207683,1,4.14148555298966,3.64151075480942,2,7.72419642900673,6.56041127573925,2,0,0,0,0,0,0,0,0,0,4.80133528561892,7.2092699065061,2,0,0,0,4.86721820243576,2.98511960619714,2,0,0,0
 17,8.22827054840507,3.3251870302995,1,7.23920640425662,5.45823437561011,0,0,0,0,8.22827054840507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17,8.22827054840507,3.3251870302995,1,7.23920640425662,5.45823437561011,1,5.77282988430541,4.84640287924464,0,8.22827054840507,0,0,0,0,0,0,0,0,0,0,0,6.99344502467533,4.14618385137187,0,0,0,0,0,0,0,0,0,0
 17,8.22827054840507,3.3251870302995,1,7.23920640425662,5.45823437561011,1,5.77282988430541,4.84640287924464,2,8.22827054840507,0,0,0,0,0,7.1728541086705,3.90989442460894,0,0,0,0,6.99344502467533,4.14618385137187,2,6.77387153517462,1.51909766959647,0,0,0,0,0,0,0
 17,8.22827054840507,3.3251870302995,1,7.23920640425662,5.45823437561011,1,5.77282988430541,4.84640287924464,2,8.22827054840507,0,0,0,0,0,7.1728541086705,3.90989442460894,8,0,0,0,6.99344502467533,4.14618385137187,2,6.77387153517462,1.51909766959647,8,0,0,0,0,0,0
 17,8.22827054840507,3.3251870302995,1,7.23920640425662,5.45823437561011,1,5.77282988430541,4.84640287924464,2,8.22827054840507,0,0,0,0,0,7.1728541086705,3.90989442460894,8,2.69714366855435,4.62770124905316,1,6.99344502467533,4.14618385137187,2,6.77387153517462,1.51909766959647,8,0,0,0,0,0,0
 18,8.52330282195116,3.32545392644672,1,5.58497962391098,6.35080469982359,0,0,0,0,8.52330282195116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18,8.52330282195116,3.32545392644672,1,5.58497962391098,6.35080469982359,1,5.92572038534024,6.05952314974172,0,8.52330282195116,0,0,0,0,0,0,0,0,0,0,0,6.40351577002771,6.74846268446917,0,0,0,0,0,0,0,0,0,0
 18,8.52330282195116,3.32545392644672,1,5.58497962391098,6.35080469982359,1,5.92572038534024,6.05952314974172,2,8.52330282195116,0,0,0,0,0,0,0,0,0,0,0,6.40351577002771,6.74846268446917,2,0,0,0,0,0,0,0,0,0
 18,8.52330282195116,3.32545392644672,1,5.58497962391098,6.35080469982359,1,5.92572038534024,6.05952314974172,2,8.52330282195116,5.08720547515199,2,0,0,0,0,0,0,0,0,0,6.40351577002771,6.74846268446917,2,0,0,0,6.72783470097943,7.31313975953135,2,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,0,0,0,0,7.29588812533536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,1,6.42487589001407,1.84389735382434,0,7.29588812533536,0,0,0,0,0,0,0,0,0,0,0,6.93880971939805,4.18766160216933,0,0,0,0,0,0,0,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,1,6.42487589001407,1.84389735382434,2,7.29588812533536,0,0,0,0,0,5.6087207365181,5.57387604095219,0,0,0,0,6.93880971939805,4.18766160216933,2,5.95298950781485,2.0970608750544,0,0,0,0,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,1,6.42487589001407,1.84389735382434,2,7.29588812533536,0,0,0,0,0,5.6087207365181,5.57387604095219,4,0,0,0,6.93880971939805,4.18766160216933,2,5.95298950781485,2.0970608750544,4,0,0,0,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,1,4.98561246011257,3.90281438513289,2,7.29588812533536,0,0,0,0,0,5.6087207365181,5.57387604095219,4,0,0,0,4.29656578965086,4.37605802469735,2,5.95298950781485,2.0970608750544,4,0,0,0,0,0,0
 19,7.29588812533536,6.28621667875246,1,3.77468104194044,4.2916450495472,1,4.98561246011257,3.90281438513289,2,7.29588812533536,0,0,4.95712793066462,2.84455394456565,1,5.6087207365181,5.57387604095219,4,0,0,0,4.29656578965086,4.37605802469735,2,5.95298950781485,2.0970608750544,4,0,0,0,7.35620243715237,4.08704028659318,1
 20,2.8381521244218,5.17780855234864,1,8.59672755267004,4.53701663154369,0,0,0,0,2.8381521244218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 20,2.8381521244218,5.17780855234864,1,8.59672755267004,4.53701663154369,1,5.85690505352927,6.5342270694886,0,2.8381521244218,0,0,0,0,0,0,0,0,0,0,0,5.72540405775706,5.94442742226553,0,0,0,0,0,0,0,0,0,0
 20,2.8381521244218,5.17780855234864,1,8.59672755267004,4.53701663154369,1,5.85690505352927,6.5342270694886,2,2.8381521244218,0,0,0,0,0,0,0,0,0,0,0,5.72540405775706,5.94442742226553,2,0,0,0,0,0,0,0,0,0
