Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
31,4.973874503,5.713523815,1,4.335939943,6.558588818,1,5.052455508,1.648621327,2,4.973874503,2.576832689,1,0,0,0,0,0,0
32,5.446787637,3.829985676,1,4.421207779,4.888813585,0,0,0,0,5.446787637,0,0,0,0,0,0,0,0
32,5.446787637,3.829985676,1,4.421207779,4.888813585,1,6.01425734,6.05456029,0,5.446787637,0,0,0,0,0,0,0,0
32,5.446787637,3.829985676,1,4.421207779,4.888813585,1,6.01425734,6.05456029,3,5.446787637,0,0,0,0,0,0,0,0
32,5.446787637,3.829985676,1,4.421207779,4.888813585,1,6.01425734,6.05456029,3,5.446787637,6.838510558,1,0,0,0,0,0,0
33,5.592422231,4.522129327,1,8.038638712,5.404964023,0,0,0,0,5.592422231,0,0,0,0,0,0,0,0
33,5.592422231,4.522129327,1,8.038638712,5.404964023,1,6.866985648,4.756133526,0,5.592422231,0,0,0,0,0,0,0,0
33,5.592422231,4.522129327,1,8.038638712,5.404964023,1,6.866985648,4.756133526,3,5.592422231,0,0,0,0,0,0,0,0
33,5.592422231,4.522129327,1,8.038638712,5.404964023,1,6.866985648,4.756133526,3,5.592422231,5.164819591,1,0,0,0,0,0,0
34,5.650624894,2.080897183,0,2.265411629,2.223763993,0,4.652488761,6.145765584,2,5.650624894,0,0,0,0,0,4.700285729,3.063377384,0
34,5.650624894,2.080897183,0,2.265411629,2.223763993,0,4.652488761,6.145765584,2,5.650624894,0,0,0,0,0,4.700285729,3.063377384,2
34,5.650624894,2.080897183,0,2.265411629,2.223763993,0,2.996187667,4.970511174,2,5.650624894,0,0,0,0,0,4.700285729,3.063377384,2
34,5.650624894,2.080897183,0,2.265411629,2.223763993,0,2.996187667,4.970511174,2,5.650624894,7.209269907,3,0,0,0,4.700285729,3.063377384,2
35,2.207191949,3.820490813,0,2.521434069,4.596812923,0,4.160320181,6.69517944,4,2.207191949,0,0,0,0,0,6.507043366,5.460521768,0
35,2.207191949,3.820490813,0,2.521434069,4.596812923,0,4.160320181,6.69517944,4,2.207191949,0,0,0,0,0,6.507043366,5.460521768,1
36,5.349496284,7.246027564,0,5.467510895,2.961394496,0,7.931875703,8.019897325,4,5.349496284,0,0,0,0,0,6.324557633,7.128420777,0
36,5.349496284,7.246027564,0,5.467510895,2.961394496,0,7.931875703,8.019897325,4,5.349496284,0,0,0,0,0,6.324557633,7.128420777,1
36,5.349496284,7.246027564,0,5.467510895,2.961394496,0,6.282871,5.790890149,2,5.349496284,0,0,0,0,0,6.324557633,7.128420777,1
37,4.437671352,4.54691187,1,5.504174445,5.516720498,0,0,0,0,4.437671352,0,0,0,0,0,0,0,0
36,5.349496284,7.246027564,0,5.467510895,2.961394496,0,6.282871,5.790890149,2,5.349496284,0,0,6.215495433,4.889625168,1,6.324557633,7.128420777,1
37,4.437671352,4.54691187,1,5.504174445,5.516720498,1,7.498712679,6.957305794,0,4.437671352,0,0,0,0,0,0,0,0
37,4.437671352,4.54691187,1,5.504174445,5.516720498,1,7.498712679,6.957305794,2,4.437671352,0,0,0,0,0,0,0,0
